date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:35	82/82	---MCZ	200	added ('OK')	text/plain	date:Mon,%2005%20Dec%202022%2011:19:50%20GMT	https://elementyoga.vhx.tv/robots.txt		(from )
16:48:35	107856/107856	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2011:19:50%20GMT	https://elementyoga.vhx.tv/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/elementyoga.vhx.tv/index.html	(from )
16:48:36	157233/157233	---M--	200	added ('OK')	image/png	etag:%22525ce343747040bec09c9bc109059098%22	https://dr56wvhu2c8zo.cloudfront.net/elementyoga/assets/fb1fca70-0af1-4754-8369-2d0b23d26fe6.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/dr56wvhu2c8zo.cloudfront.net/elementyoga/assets/EY_Logo_Icon_Sea%20Green.png	(from https://elementyoga.vhx.tv/)
16:48:36	212/212	---MCZ	200	added ('OK')	text/plain	etag:W/%22638a699a-d4%22	https://elementyoga.vhx.tv/humans.txt	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/elementyoga.vhx.tv/humans.txt	(from https://elementyoga.vhx.tv/)
16:48:36	5767/5767	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Dec%202022%2014:33:55%20GMT	https://vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef.png?fm=png&q=57&w=57	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef2fb5.png	(from https://elementyoga.vhx.tv/)
16:48:37	14328/14328	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Dec%202022%2005:46:42%20GMT	https://vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef.png?fm=png&q=114&w=114	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311efa6cf.png	(from https://elementyoga.vhx.tv/)
16:48:37	7279/7279	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Dec%202022%2014:33:55%20GMT	https://vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef.png?fm=png&q=72&w=72	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311eff831.png	(from https://elementyoga.vhx.tv/)
16:48:37	17020/17020	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Dec%202022%2005:46:43%20GMT	https://vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef.png?fm=png&q=144&w=144	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311efd225.png	(from https://elementyoga.vhx.tv/)
16:48:38	6117/6117	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Dec%202022%2005:46:44%20GMT	https://vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef.png?fm=png&q=60&w=60	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef0fa4.png	(from https://elementyoga.vhx.tv/)
16:48:38	15376/15376	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Dec%202022%2005:46:43%20GMT	https://vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef.png?fm=png&q=120&w=120	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web121/Site121/vhx.imgix.net/elementyoga/assets/19aa3316-bc72-4158-b08c-ad027e6311ef9645.png	(from https://elementyoga.vhx.tv/)
